List,ID,Time,Word,Translation
Contributions,67108867.1,638550864540361959,"海外移住; かいがいいじゅう","en: overseas immigration, overseas migration"
Contributions,67108866.1,638532663684798332,"西門; さいもん",en: western gate
Contributions,2667030.1,638532533449531859,"十二天, じゅうにてん","en: the twelve celestials, deities of the twelve directions (in Japanese Esoteric Buddhism)#noun;"
Contributions,67108865.1,638532531196551794,"風天; ふうてん",en: Vayu (one of the twelve deva guardians in Esoteric Buddhism)
Favorites,1240530,638557806580749280,"玉, たま, 球, 珠, 弾","ball, sphere, globe, orb, pallo, 공, 구(球), 球, , bead (of sweat, dew, etc.), drop, droplet, ball (in sports), pile (of noodles, etc.), bullet, bulb (i.e. a light bulb), lens (of glasses, etc.), bead (of an abacus), ball (i.e. a testicle), gem, jewel (esp. spherical; sometimes used figuratively), pearl, female entertainer (e.g. a geisha), person (when commenting on their nature), character, item, funds or person used as part of a plot, egg, okonomiyaki, coin, precious, beautiful, excellent, kolikko, 동전(銅錢), 硬幣, 硬币, 銅錢, 铜钱"
Favorites,1441820,638547279199447020,"伝, つて, 伝手, ツテ","means of making contact, intermediary, go-between, , connections, influence, pull, good offices"
Favorites,1471310,638545518629715022,"破局, はきょく","catastrophe, cataclysm, 分手, , collapse (of a relationship), breakup, split (friends, lovers, etc.)"
Favorites,1263220,638544256513757233,"減食, げんしょく","cutting down on food intake, reducing rations, reducing allowance of food"
Favorites,1378550,638535571938701784,"生き甲斐, いきがい, 生きがい, 生甲斐","reason for living, something one lives for, purpose in life, raison d'être, 보람"
History,1564320,638647079527895326,"凛, りん, 凜","cold, frigid, bracing, , dignified"
History,2008220,638647070072712587,"ご機嫌よう, ごきげんよう, 御機嫌よう","how do you do?, nice to meet you, hyvää matkaa, 잘 다녀 오십시오, 一路平安, 一路順風, 一路顺风, , adieu, farewell, bon voyage, hyvästely, jäähyväiset, hyvää päivää, 안녕-하십니까, 幸會, 幸会, 請多關照, 请多关照, 您好"
History,2834059,638647038051828178,"裏山死刑, うらやましけい, うらやま死刑, 羨ま死刑",being jealous of someone over something but also thinking they should be sentenced to death over it (esp. of male teachers having sexual relations with their students)
History,1480470,638647031948893256,"反射的, はんしゃてき","reflexive, reflecting, refleksiivinen"
History,2118910,638647030242648560,"モテ女, モテおんな",woman who is popular with men
History,1437260,638646940578711651,"的, てき","-ical, -ive, -al, -ic, -y, -iivi, -iivinen, 적, , -like, -ish, -sort of, -kind of, (something) like, along the lines of, -wise, in terms of, for, from the viewpoint of, from a ... standpoint, as far as ... is concerned, Mr., Ms., Mrs., -inen"
History,2782300,638646930514407085,"デバンニング, デバニング",unloading goods from a container truck
History,2027220,638646930481067480,"出バン, でバン, デバン","unloading goods from a container truck, etc."
History,2620140,638646923274579925,"予定変更, よていへんこう","change of schedule, schedule change"
History,2620650,638646918944535042,"往復ビンタ, おうふくビンタ, 往復びんた, おうふくびんた",double slap in the face (second slap administered by the return motion of the back of the hand)
History,2633130,638646900663705323,"鍛え, きたえ","forging, tempering, , drilling, training, disciplining"
History,1653310,638646757399959093,"透析, とうせき","dialysis, dialyysi, 透析, 滲析, 渗析"
History,1195970,638646183550135878,"過ぎる, すぎる","to pass through, to pass by, to go beyond, kadota, 지나가다, 過去, 过去, , to pass (of time), to elapse, to have expired, to have ended, to be over, to exceed, to surpass, to be above, to be no more than ..., to be excessive, to be too much, kulua, mennä, vieriä, vierähtää, kulkea, 過, 过"
History,1244090,638645310529330233,"区域, くいき","limits, boundary, domain, zone, sphere, territory, alue, 지역(地域), 지방(地方), 地區, , area (e.g. in programming languages)"
History,1213610,638645310432661881,"監禁, かんきん","confinement, sulkea, teljetä, vangita, 감금, 囚禁, 關押, 关押, 拘禁, 拘押, 監禁, 监禁, 樊籠, 樊笼, 桎梏, 囹圄, , vankeus"
History,1375730,638645096658381819,"成熟, せいじゅく","maturity, ripeness, kypsä, 숙성되다, 成長, 成长, , kypsyys, kypsyminen, kypsyä, tuleentua, 成熟"
History,1381910,638645096634717978,"静寂, せいじゃく","silence, stillness, quietness, hiljaisuus, äänettömyys, 침묵, 沉默"
History,1315190,638645096243462016,"字源, じげん","origin of a character, , composition of a Chinese character, Chinese character from which a kana character is derived"
History,1316190,638645096215694425,"時限, じげん","(school) period, , period or division of time, time limit"
History,1315310,638645096199848764,"慈眼, じげん, じがん",merciful eye (of a Buddha or a bodhisattva watching humanity)
History,1757000,638645096185304988,"示現, じげん",manifestation (of a celestial being)
History,1316510,638645096113440445,"次元, じげん","dimension, ulottuvuus, dimensio, 차원, 維數, 维数, 維, 维, , perspective, point of reference, level (of something), ulotteinen, 維度, 维度"
History,1478780,638644416271484326,"半ば, なかば, 中ば","middle, halfway, midway, , half (of), one half, half (e.g. done, jokingly), partly, in part, partially, mostly, almost, nearly"
History,1796000,638644407075859175,"菱餅, ひしもち",rhombus-shaped mochi
History,1520930,638643657777842528,"北極光, ほっきょくこう","northern lights, aurora borealis, revontulet, 오로라, 北極光, 北极光"
History,1460210,638643657761910447,"南極光, なんきょくこう","aurora australis, southern lights"
History,1760530,638643657716481720,"極光, きょっこう, きょくこう","northern or southern lights, aurora borealis or australis, revontulet, 극광(極光), 오로라, 極光, 极光"
History,1475420,638643657508553099,"白夜, びゃくや, はくや","night under the midnight sun, white night (at extreme latitudes), night during which the sun doesn't set, keskiyön aurinko, yötön yö, 백야(白夜), 白夜, , 백야, 极昼"
History,1477910,638642451975604127,"発明, はつめい","invention, keksintö, 발명(發明), 發明, 发明, , intelligent, clever, smart, making sense (of something), understanding, 발명"
History,1439060,638642270447737442,"天皇陛下, てんのうへいか",His Majesty the Emperor
History,1495070,638641852184352630,"不明確, ふめいかく","inaccurate, indistinct, imprecise, unclear, indecisive"
History,2390450,638641852153392230,"明確化, めいかくか","clarification, definition"
History,2411600,638641847436211480,"お掛け下さい, おかけください, おかけ下さい, 御掛け下さい","please sit down, please have a seat"
History,1401430,638641845525633170,"窓際, まどぎわ",(at the) window
History,1296300,638641844701666630,"際, さい","occasion, time, circumstances, (in) case (of), when"
History,1601040,638641691654084788,"歯磨き, はみがき, 歯磨","dental brushing, brushing one's teeth, hampaiden harjaus, 양치질, 刷牙, , dentifrice, toothpaste, tooth powder"
History,2770020,638640582822183519,"先軍政治, せんぐんせいじ","Songun, military-first policy of North Korea, 선군정치, 先军政治"
History,1490640,638640582679249408,"品切れ, しなぎれ","out of stock, sold out"
History,1612190,638640189118803620,"善くも, よくも","how dare ..., how could ..."
History,1411070,638639270496955142,"袋, ふくろ, 嚢","bag, sack, pouch, kassi, laukku, pussi, säkki, pussukka, 가방, 봉지(封紙), 봉투(封套), 자루, 包, 袋, 囊, , skin of an orange (and other like fruits), dead end, plot of land surrounded by water, muovikassi, muovipussi, 비닐봉지, 비닐봉투, 塑料袋, 塑膠袋, 塑胶袋, 膠袋, 胶袋"
History,2223600,638639269503397677,"２ちゃんねらー, にちゃんねらー, ２ちゃんねら, にちゃんねら","2channeler, 2chan user"
History,2571790,638639269492288722,"２ちゃんねる, にちゃんねる",2channel (Japanese online forum)
History,2223580,638639269239759252,"ＤＱＮ, ドキュン, ドキュソ","dumb-ass, person lacking common sense or basic knowledge, , delinquent, violent person, rough-looking person"
History,1591300,638639095361188698,"切っ先, きっさき, 鋒, 切尖, 切先, ほう","point (of a sword, etc.), , pointed verbal attack"
History,1416680,638638903630139356,"たどり着く, たどりつく, 辿り着く","to (finally) arrive at, to reach (at last), to (manage to) get to, to find one's way to"
History,1230040,638638903408638028,"究極, きゅうきょく, 窮極","ultimate, final, last, eventual, ääripiste, ääri-, laita-, ääri, reuna-, 極端, 极端, , äärimmäinen, korkein"
History,2140070,638637116823868481,"社畜, しゃちく","corporate drone, corporate slave"
History,1207030,638637113338842475,"学年, がくねん","academic year, school year, luokka, vuosikurssi, 학년(學年), 學年, 学年, 年级, , year in school, grade in school, lukuvuosi, akateeminen vuosi, vuosiluokka, 학년, 년(年), 학급(學級), 급(級), 年級, 級, 级, 班, 學級, 学级"
History,1546940,638637101908194050,"遥かに, はるかに, 遙かに","by far, far and away, much, 훨씬, , far away, far off, in the distance, long ago, long before"
History,2410190,638637101439788169,"対す, たいす","to face (each other), to be facing, 대한, , to be directed toward (the future, etc.), to be in response to, to be related to, to receive (a client, etc.), to compare with, to contrast with, to be in opposition with, to be opposed to, to confront, to oppose, to compete with"
History,2118520,638635821359321837,"余所にする, よそにする","to neglect, to ignore, to slight, to be indifferent to"
History,1077700,638635814201487361,"チクチク痛む, チクチクいたむ, ちくちく痛む, ちくちくいたむ","to prickle, to tingle"
History,1192280,638632992142521285,"家庭, かてい","home, household, family, hearth, koti, 가정, 戶, 户, 人家, , kotitalous, talous, perhe, suku, 가족(家族), 가정(家庭), 친척(親戚), 家, 家庭, 家族"
History,1659970,638631981734467280,サンダー,"thunder, 선더"
History,2138880,638631981537871172,"コテコテ, ゴテゴテ, こてこて, ごてごて","over the top, , thickly, heavily, richly"
History,1738580,638631981457707348,"雷神, らいじん","god of thunder, raijin, 라이진"
History,2423030,638631903738517648,プロム,"prom, tanssiaiset, 프롬, 프롬나드, 무도회, 畢業舞會, 毕业舞会, 舞會, 舞会"
History,1311330,638631903562555863,"私的, してき","private, personal"
History,1289140,638631532045969810,"今後, こんご","from now on, hereafter, vastedes, tästä lähin, tästedes, tästä lähtien, tästä eteenpäin, 이제부터는, 從此, 从此, 從此以後, 从此以后, 此後, 此后, 今後, 今后, , 이제부터, 지금부터, 앞으로, 금후(今後)"
History,1009870,638630597703127850,"ヌルヌル, ぬるぬる","slimy, slippery, greasy, clammy, , smoothly (of CGI movements, video streaming, etc.)"
History,1236630,638630355431140075,"怯える, おびえる, 脅える, 悸える","to become frightened, to be frightened (of), to be scared (of)"
History,1471080,638630309833252430,"波動, はどう","wave motion, undulation, surge, heilahtelu, huojunta, 파동, 波動, 波动, , 波"
History,1013030,638630309479234130,"縁, ゆかり, 所縁, しょえん","connection (to a person, place, etc.), relation, affinity"
History,2828397,638630309437189370,"縁の色, ゆかりのいろ",violet
History,1632100,638630235757030927,だの,"and, or, and the like, and so forth, and what not"
History,1139060,638630175315608881,"ラストスパート, ラスト・スパート","last spurt, final spurt, home stretch, loppusuora"
History,1323460,638630173449744053,"邪険, じゃけん, 邪慳","cruel, hard-hearted, harsh, unkind"
History,1231650,638629509021159190,"去る, さる, 避る","to leave, to go away, poistua, jättää, 떠나가다, 走, 走開, 走开, , to pass, to elapse, to be distant, to send away, to drive off, to divorce, to (do) completely, last ... (e.g. ""last April""), muuttaa maasta, mennä pois, lähteä, 떠나다, 離開, 离开"
History,1208230,638629508973616090,"括る, くくる","to tie up, to tie together, to bind, to bundle, to fasten, sitoa, köyttää, 묶다, 捆綁, 捆绑, 捆紮, 捆扎, 捆住, 繫, 系, , to hang (oneself), to summarize, to put (it all) together, to consolidate, to estimate, to expect, to tie-dye, to detain, to check, to restrain"
History,2763660,638629508928290650,"括り, くくり","knot, tying, , bundle, lumping, conclusion, ending"
History,1549780,638628716961023315,"履き替える, はきかえる, 履きかえる, 履替える","to change (lower-body clothing: shoes, pants, skirt, etc.), , to put on (the wrong shoes)"
History,1278220,638628716364618979,"工夫, くふう, 功夫","devising (a way), contriving, inventing, thinking up, figuring out, coming up with, working out, , device, design, idea, plan, invention, dedication to spiritual improvement (esp. through Zen meditation)"
History,1277730,638628710571666875,"好調, こうちょう","favourable, favorable, promising, satisfactory, in good shape, sopiva, 好意, 順利, 顺利, 有利"
History,2087620,638628710528848106,"絶好調, ぜっこうちょう","in perfect form, going swimmingly"
History,1493840,638628707644499213,"不調, ふちょう","bad condition, poor condition, disorder, slump, being out of form, , failure, rupture, breakdown (e.g. of negotiations)"
History,1346330,638628434910414994,"召し使う, めしつかう, 召使う","to employ, to hire (a servant)"
History,1604960,638628434887836662,"召し使い, めしつかい, 召使い, 召使","servant, menial"
History,2051740,638627931888495322,"捏造記事, ねつぞうきじ","fabricated article, fabricated (news) story, cooked-up (news) report"
History,1332910,638627827847894031,"終息, しゅうそく, 終熄","having ended, being resolved"
History,1952350,638627827830418703,"集束, しゅうそく","focusing (e.g. light), convergence"
History,1330750,638627827816130209,"収束, しゅうそく","conclusion, resolution, firming up (plans, etc.), coming together, returning to normal, suppeneminen, , gathering and bundling, convergence, focusing (e.g. light)"
History,1422520,638627827189277492,"秩序, ちつじょ","order, discipline, regularity, system, method, järjestys, 질서(秩序), 次序, 秩序"
History,1595260,638627827171024153,"実情, じつじょう, 実状","real condition, actual circumstances, actual state of affairs, tieto, tosiasia, fakta, tosio, 정보(情報), 사실(事實), 事實, 事实"
History,1241270,638627825975006675,"均衡, きんこう","equilibrium, balance, tasapaino, 평형(平衡), 平衡, , taloudellinen tasapaino, 경제적 균형, 經濟均衡"
History,1242290,638627825958651191,"近郊, きんこう","outskirts, environs (of a city), surrounding area, surroundings, esikaupunkialue, esikaupunki, lähiö, 근교, 교외, 近郊, 郊外, 郊區, 郊区"
History,1532410,638627824474060370,"明確, めいかく","clear, precise, definite, distinct, rajattu, määrätty, 확실한, 确定, , positiivinen, yksiselitteinen, täsmällinen, selkeä, eksplisiittinen, ilmeinen, selvä, 不含糊, 明確, 明确, 精确, 明确的"
History,1563960,638627823358429207,"傲慢, ごうまん","haughty, arrogant, insolent, proud, overbearing, ylimielinen, röyhkeä, kopea, julkea, 오만하다, 거만하다, 傲慢, 高傲, 驕傲, 骄傲, 自恃, 狂妄, , hybris, ylimielisyys, uho, arroganssi, arroganttius, kopeus, koppavuus, pöyhkeys, röyhkeys, ylpeys, ylpeä, koppava, mahtaileva, 거만, 거만(倨慢), 자만, 자부심, 교만, 自負, 自负, 自大, 妄自尊大, 傲然"
History,1572090,638625095342664407,"蝙蝠, こうもり, かわほり, へんぷく, コウモリ","bat (Chiroptera spp.), lepakko, 박쥐, 편복(蝙蝠), 蝙蝠, 飛鼠, 飞鼠, 伏翼, 服翼, 仙鼠, 夜燕, , umbrella, opportunist, turncoat, opportunisti, 기회주의자, 变色龙, 變色龍"
History,2195500,638625095204899641,"家蝙蝠, いえこうもり, イエコウモリ",Japanese house bat (Pipistrellus abramus)
History,1472860,638624633691900970,"背負う, せおう, 脊負う, しょう","to carry on one's back, , to be burdened with, to take responsibility for, to have (something) in the background, to be in front (of something), to be conceited, to think highly of oneself"
History,2750980,638624633648314920,"十字架を背負う, じゅうじかをせおう","to have a cross to bear, to carry a heavy burden"
History,1032390,638624119733291802,"オーバー, オーバ","overcoat, , exceeding, going over, going beyond, exaggerated, over the top, overdrawn, overreaction, over par, overexposure"
History,2114330,638622771074658521,"三者面談, さんしゃめんだん","parent and child meeting (with teacher for course, career guidance, etc.)"
History,1669020,638621718290103420,"貴公子, きこうし","young nobleman, scion of a noble family, , princely young man, man with an aristocratic air"
History,1273760,638621718246843420,"公子, こうし",young nobleman
History,2812190,638621718195892040,"公女, こうじょ","young noblewoman, princess"
History,1495490,638621563317874458,"不埒, ふらち, 不埓","lawless, outrageous, insolent, rude, inexcusable, unpardonable, röyhkeä"
History,1392580,638621550059231761,"前, まえ","in front (of), before (e.g. a building), viime, viimeisin, 지난, 最近, 上, , earlier, previously, prior, ago, (minutes) to (the hour), (the) front, frontal part, fore, head (e.g. of a line), forward, ahead, (in the) presence (of), in front (of someone), previous (e.g. page), prior (e.g. engagement), first (e.g. half), former (e.g. example), portion, helping, front (of one's body or clothing), breast (of a coat, kimono, etc.), privates, private parts, criminal record, previous conviction, (a) prior, edeltävä, edellinen, entinen, aiempi, aikaisempi, ennen, aikaisemmin, varhemmin, edessä, etupuoli, edusta, etuosa, sitten, etu-, etummainen, etinen, eteenpäin, 전, 이전, 앞, ...의 앞에, 前, 以前, 之前, 正面, 向前, 面前, 以前的"
History,1207610,638621549749281291,"掛ける, かける, 懸ける","to hang up (e.g. a coat, a picture on the wall), to let hang, to suspend (from), to hoist (e.g. sail), to raise (e.g. flag), takertua, tarrautua, 걸다, 매달다, 粘住, 依附, , to put on (e.g. a blanket), to put on top of, to cover, to lay, to spread, to put on (glasses, etc.), to wear (a necklace, etc.), to make (a call), to spend (time, money), to expend, to use, to pour (liquid) onto, to sprinkle (powder or spices) onto, to splash, to throw (e.g. water) onto, to turn on (an engine, radio, etc.), to set (a dial, alarm clock, etc.), to put on (a DVD, song, etc.), to use (a device, implement, etc.), to cause (someone inconvenience, trouble, etc.), to burden (someone), to impose, to multiply (arithmetic operation), to secure (e.g. lock), to take a seat, to sit, to rest (something on something else), to support (something on something else), to bind, to wager, to bet, to risk, to stake, to gamble, to put an effect (spell, anaesthetic, etc.) on, to hold (a play, festival, etc.), to hold an emotion for (pity, hope, etc.), to argue (in court), to deliberate (in a meeting), to present (e.g. idea to a conference, etc.), to increase further, to catch (in a trap, etc.), to set atop, to erect (a makeshift building), to apply (insurance), to pun (on a word), to use (a word) as a pivot word, to play on words, to be partway doing ..., to begin (but not complete) ..., to be about to ..., to address (someone), to direct (something, to someone), to do (something, to someone), roikuttaa, ripustaa, olla yllään, pitää, käyttää, olla päällään, kertaa, kertoa, roikkua, riippua, 입다, 곱하기, 곱하다, 掛, 挂, 懸, 悬, 懸掛, 悬挂, 穿, 乘以, 乘, 吊"
History,1659230,638621545039928212,"週明け, しゅうあけ, 週あけ","beginning of next week (usu. Monday), early next week"
History,2855539,638621545013903025,"来週明け, らいしゅうあけ","early next week, (at the) beginning of next week"
History,2838655,638621543110706136,"告解場, こっかいじょう","confessional, rippituoli, 고해실, 告解室"
History,2809690,638621538215137974,"無下にする, むげにする, 無碍にする","to not make good use of (e.g. advice), to disregard, to treat as useless, to treat with disdain"
History,1329210,638621536887614424,"首にする, くびにする, クビにする","to fire (from a job), to sack, to dismiss, erottaa, antaa potkut, irtisanoa, 해고(解雇)하다, 解雇, 開除, 开除, , lähettää matkoihinsa"
History,1421850,638621530036798634,"置く, おく","to put, to place, laskea, asettaa, panna, laittaa, pistää, sijoittaa, 눕다, 엎드리다, 放, 置, 放置, , to leave (behind), to establish (an organization, a facility, a position, etc.), to set up, to appoint (someone to a certain position), to hire, to employ, to place (one's trust, one's faith, etc.), to bear (in mind, etc.), to put down a tool (e.g. a pen) hence stopping what one is doing with that tool, to take in (boarders, etc.), to provide lodging in one's house, to separate spatially or temporally, to do something in advance, to leave something in a certain state, to keep something in a certain state, 두다, 놓다"
History,2134460,638621143725909298,"此れっぽっち, これっぽっち, 是っぽっち","(this) small amount, (such a) paltry amount, only this much, slightest bit"
History,2755620,638621143709014721,"此れっぽち, これっぽち","tiny amount (degree, extent), paltry amount, slightest bit"
